UUID;Version;Name (en);Category (original);Compliance;Background database(s);Location code;Type;Reference year;Valid until;URL;Declaration owner;Publication date;Registration number;Registration authority;Predecessor UUID;Predecessor Version;Predecessor URL;Ref. quantity;Ref. unit;Reference flow UUID;Reference flow name;Bulk Density (kg/m3);Grammage (kg/m2);Gross Density (kg/m3);Layer Thickness (m);Productiveness (m2);Linear Density (kg/m);Weight Per Piece (kg);Conversion factor to 1kg;Carbon content (biogenic) in kg;Carbon content (biogenic) - packaging in kg;Module;Scenario;Scenario Description;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;A1-A3;;;;;;;;;;86.1;0;86.1;430;0;430;34.6;48.3;0;0.61;0.000112;0.0269;0.00000845;0;2.07;0.00267;2.28;7.62;0.287;89;0.235;89.7;0.0773;;;0.0995;0.00177;1.12;;;;;0.00000308;0.0456;418;0.000223;10600;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;A4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;A5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;B7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;C1;;;;;;;;;;0.266;0;0.266;49.7;0;49.7;0;0;0;0.00697;0;0;0;0;0;0;0;0;0.0331;3.57;0.00082;3.57;0.000402;;;0.0153;0.00011;0.167;;;;;0.0000000568;0.0494;46.8;0.00000125;0.151;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;C2;;;;;;;;;;2.06;0;2.06;139;0;139;0;0;0;0.0303;0;0;0;0;0;0;0;0;0.0202;9.25;0.00846;9.24;0.00456;;;0.00509;0.000657;0.0518;;;;;0.000000201;0.0313;131;0.0000302;0.771;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;C3;;;;;;;;;;0.0426;0;0.0426;7.96;0;7.96;0;0;0;0.00111;0;0;0;0;800;0;0;0;0.0053;0.572;0.000131;0.572;0.0000643;;;0.00246;0.0000175;0.0267;;;;;0.00000000909;0.00791;7.49;0.0000002;0.0242;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;C4;;;;;;;;;;0.583;0;0.583;30.6;0;30.6;0;0;0;0.0355;0;0;0;0;0;0;0;0;0.00854;0.863;0.00364;0.859;0.000198;;;0.0032;0.0000506;0.0352;;;;;0.000000441;0.0101;28.9;0.00000175;1.5;
c627c684-5930-4043-faad-08dd19c0fc1e;07.01.013;Ready mixed concrete C30/37;'Construction products, Infrastructure & buildings';'EN 15804+A2 (EF 3.1)' / 'ISO 14025';'ecoinvent database (b497a91f-e14b-4b69-8f28-f50eb1576766)';SE;specific dataset;2025;2029;https://data.environdec.com/resource/processes/c627c684-5930-4043-faad-08dd19c0fc1e?version=07.01.013;Enstaberga Cementgjuteri AB;2024-12-11;EPD-IES-0005296:001;The International EPD System;c627c684-5930-4043-faad-08dd19c0fc1e;07.01.012;;1000;kg;e5f31c6e-dc96-44f4-9271-dc4b48d55d70;Ready mixed concrete C30/37;;;;;;;;;;;D;;;;;;;;;;-12.9;0;-12.9;-42.4;0;-42.4;0;0;0;-0.296;0;0;0;0;0;0;0;0;-0.0224;-2.71;0;-2.71;-0.00199;;;-0.00663;-0.000582;-0.0886;;;;;-0.0000000446;-0.0226;-40.3;-0.0000375;-11.7;
